date,date2,Source,Title,Description,Image,Video,Link
5/20/15,5/20/15,The Korea Herald,Seoul confirms first MERS infection case,South Korea's Health Ministry on Wednesday confirmed its first Middle East Respiratory Syndrome coronavirus (MERS-CoV) case in a patient who returned from Bahrain to Seoul earlier this month. The 68-year-old is currently reported to be in a stable condition.,,,http://khnews.kheraldm.com/view.php?ud=20150520001156&md=20150521003316_BL
5/29/15,5/29/15,NYTimes,"China Confirms First Case of MERS, a South Korean Man",China on Friday confirmed its first case of Middle East Respiratory Syndrome in a South Korean businessman who ignored instructions to stay home after his father was diagnosed with the disease.,,,http://www.nytimes.com/aponline/2015/05/29/world/asia/ap-as-china-mers.html
6/1/15,6/1/15,NYTimes,More Than 680 in South Korea Isolated Over MERS Virus Fears,More than 680 people in South Korea are isolated after having contact with patients infected with a virus that has killed hundreds of people in the Middle East.,,,http://www.nytimes.com/aponline/2015/06/01/us/ap-as-travel-skorea-mers-virus.html
6/2/15,6/2/15,NBCNews,Two People Die of MERS in South Korea,"South Korea confirmed the country's first two deaths from Middle East Respiratory Syndrome as it fights to contain the spread of the virus that has killed hundreds of people in the Middle East.South Korea's cases have connections to the first patient, either medical staff who treated him or patients who stayed near the man at the hospital before he was diagnosed and isolated.",https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSCiyKpahW6QlMdNPfgVU-oVE8KAECbzMK6jelXpmAUxObXTSqVXqlrrziO,,http://www.nbcnews.com/storyline/mers-mystery/two-die-mers-south-korea-n368141
6/2/15,6/2/15,The Korea Herald,Camels in Seoul Grand Park isolated,"As fears of Middle East Respiratory Syndrome infection spreads, camels at a local zoo have been isolated. Camels are thought to be major reservoirs for MERS. The World Health Organization has advised people to avoid close contact with animals, particularly camels, when visiting farms or other open areas where the virus is known to be circulating.",http://res.heraldm.com/content/image/2015/06/02/20150602001396_0.jpg,,http://khnews.kheraldm.com/view.php?ud=20150602000711&md=20150602151051_BL
6/3/15,6/3/15,NYTimes,Korean Official on MERS School Closings,"The South Korean education minister, Hwang Yoo-Wea, announced class cancellations and precautionary measures after the virus killed two.","<iframe width=""480"" height=""373"" frameborder=""0"" scrolling=""no"" allowfullscreen=""true"" marginheight=""0"" marginwidth=""0"" id=""nyt_video_player"" title=""New York Times Video - Embed Player"" src=""http://graphics8.nytimes.com/bcvideo/1.0/iframe/embed.html?videoId=100000003719120&playerType=embed""></iframe>","<iframe width=""480"" height=""373"" frameborder=""0"" scrolling=""no"" allowfullscreen=""true"" marginheight=""0"" marginwidth=""0"" id=""nyt_video_player"" title=""New York Times Video - Embed Player"" src=""http://graphics8.nytimes.com/bcvideo/1.0/iframe/embed.html?videoId=100000003719120&playerType=embed""></iframe>",http://www.nytimes.com/video/world/europe/100000003719120/mers-leads-south-korean-schools-to-close.html
6/4/15,6/4/15,NYTimes,Tourists in South Korea on MERS Scare,Tourists in South Korea on Thursday described their feelings about the outbreak of Middle East Respiratory Syndrome in the country.,"<iframe width=""480"" height=""373"" frameborder=""0"" scrolling=""no"" allowfullscreen=""true"" marginheight=""0"" marginwidth=""0"" id=""nyt_video_player"" title=""New York Times Video - Embed Player"" src=""http://graphics8.nytimes.com/bcvideo/1.0/iframe/embed.html?videoId=100000003722332&playerType=embed""></iframe>","<iframe width=""480"" height=""373"" frameborder=""0"" scrolling=""no"" allowfullscreen=""true"" marginheight=""0"" marginwidth=""0"" id=""nyt_video_player"" title=""New York Times Video - Embed Player"" src=""http://graphics8.nytimes.com/bcvideo/1.0/iframe/embed.html?videoId=100000003722332&playerType=embed""></iframe>",http://www.nytimes.com/video/world/asia/100000003722332/tourists-in-south-korea-on-mers-scare.html
6/4/15,6/4/15,The Korea Herald,Citizens take initiative in MERS fight,With the government restricting access to information on the recent Middle East respiratory syndrome outbreak _ two weeks after the country's first patient was diagnosed _ the public is taking matters into its own hands to stay informed.,http://res.heraldm.com/content/image/2015/06/04/20150604001279_0.jpg,,http://khnews.kheraldm.com/view.php?ud=20150604001140&md=20150605003116_BL
6/5/15,6/5/15,The Korea Herald,Mayor's MERS remarks cause stir,"Seoul Mayor Park Won-soon late Thursday night held a press conference to blast the government's failure to share information on the MERS outbreak, a move praised by many frustrated with lax government measures, but also stroking criticism for allegedly spreading unverified information.",http://res.heraldm.com/content/image/2015/06/05/20150605001407_0.jpg,,http://khnews.kheraldm.com/view.php?ud=20150605001090&md=20150608003702_BL
6/7/15,6/7/15,The Korea Herald,Top hospital new source of MERS outbreak,"Samsung Medical Center, one of South Korea's top hospitals, was identified as a source of infection of the Middle East respiratory syndrome as health authorities revealed that 17 patients contracted the deadly virus while staying at the facility.",http://res.heraldm.com/content/image/2015/06/07/20150607000329_0.jpg,,http://khnews.kheraldm.com/view.php?ud=20150607000405&md=20150608003038_BL
